testCaseId,faulty,faultyReason,fulfillsDependencies,operationId,path,httpMethod,inputContentType,outputContentType,headerParameters,pathParameters,queryParameters,formParameters,bodyParameter,passed,failReason,statusCode,responseBody
test_1ibbive9wrnty_findAirports,false,none,true,findAirports,/airport,GET,application/json,application/json,X-RapidAPI-Host=airport-info.p.rapidapi.com;X-RapidAPI-Key=6a615b46f4mshab392a25b2bc44dp16cee9jsn2bd2d62e5f69;,,iata=BCS;,,,,,200,"{""id"":588,""iata"":""BCS"",""icao"":"""",""name"":""Southern Seaplane Airport (FAA: 65LA)"",""location"":""Belle Chasse, Louisiana, United States"",""street_number"":""1"",""street"":""Coquille Road"",""city"":""Belle Chasse"",""county"":""Plaquemines Parish"",""state"":""Louisiana"",""country_iso"":""US"",""country"":""United States"",""postal_code"":""70037"",""phone"":""+1 504-394-5633"",""latitude"":29.866688,""longitude"":-90.020775,""uct"":-300,""website"":""http://www.southernseaplane.com/""}"
test_1k1u0ihb1e054_findAirports,false,none,true,findAirports,/airport,GET,application/json,application/json,X-RapidAPI-Host=airport-info.p.rapidapi.com;X-RapidAPI-Key=6a615b46f4mshab392a25b2bc44dp16cee9jsn2bd2d62e5f69;,,icao=KBYY;,,,,,200,"{""id"":549,""iata"":""BBC"",""icao"":""KBYY"",""name"":""Bay City Municipal Airport (FAA: BYY)"",""location"":""Bay City, Texas, United States"",""street_number"":""3598"",""street"":""Farm to Market 2540"",""city"":""Bay City"",""county"":""Matagorda County"",""state"":""Texas"",""country_iso"":""US"",""country"":""United States"",""postal_code"":""77414"",""phone"":""+1 979-244-5037"",""latitude"":28.973516,""longitude"":-95.86081,""uct"":-300,""website"":""http://www.flybaycity.com/""}"
test_1jidbk0pcapm9_findAirports,false,none,true,findAirports,/airport,GET,application/json,application/json,X-RapidAPI-Host=airport-info.p.rapidapi.com;X-RapidAPI-Key=6a615b46f4mshab392a25b2bc44dp16cee9jsn2bd2d62e5f69;,,iata=EFK;,,,,,200,"{""id"":2024,""iata"":""EFK"",""icao"":""KEFK"",""name"":""Newport State Airport"",""location"":""Newport, Vermont, United States"",""street_number"":""211"",""street"":""Airport Access Road"",""city"":""Middletown"",""county"":""Newport County"",""state"":""Rhode Island"",""country_iso"":""US"",""country"":""United States"",""postal_code"":""2842"",""phone"":""+1 401-846-9400"",""latitude"":41.53182,""longitude"":-71.28061,""uct"":-240,""website"":""http://newport.stateairportri.com/""}"
test_1k1r9ljx78rat_findAirports,false,none,true,findAirports,/airport,GET,application/json,application/json,X-RapidAPI-Host=airport-info.p.rapidapi.com;X-RapidAPI-Key=6a615b46f4mshab392a25b2bc44dp16cee9jsn2bd2d62e5f69;,,iata=EFK;,,,,,200,"{""id"":2024,""iata"":""EFK"",""icao"":""KEFK"",""name"":""Newport State Airport"",""location"":""Newport, Vermont, United States"",""street_number"":""211"",""street"":""Airport Access Road"",""city"":""Middletown"",""county"":""Newport County"",""state"":""Rhode Island"",""country_iso"":""US"",""country"":""United States"",""postal_code"":""2842"",""phone"":""+1 401-846-9400"",""latitude"":41.53182,""longitude"":-71.28061,""uct"":-240,""website"":""http://newport.stateairportri.com/""}"
test_s0xrdp4dhsgz_findAirports,false,none,true,findAirports,/airport,GET,application/json,application/json,X-RapidAPI-Host=airport-info.p.rapidapi.com;X-RapidAPI-Key=6a615b46f4mshab392a25b2bc44dp16cee9jsn2bd2d62e5f69;,,iata=PBI;,,,,,200,"{""id"":5791,""iata"":""PBI"",""icao"":""KPBI"",""name"":""Palm Beach International Airport"",""location"":""West Palm Beach, Florida, United States"",""street_number"":""1000"",""street"":""James L Turnage Boulevard"",""city"":""West Palm Beach"",""county"":""Palm Beach County"",""state"":""Florida"",""country_iso"":""US"",""country"":""United States"",""postal_code"":""33415"",""phone"":""+1 561-471-7400"",""latitude"":26.685747,""longitude"":-80.09282,""uct"":-240,""website"":""http://www.pbia.org/""}"
test_rhofrv0i5vmp_findAirports,false,none,true,findAirports,/airport,GET,application/json,application/json,X-RapidAPI-Host=airport-info.p.rapidapi.com;X-RapidAPI-Key=6a615b46f4mshab392a25b2bc44dp16cee9jsn2bd2d62e5f69;,,iata=PBI;,,,,,200,"{""id"":5791,""iata"":""PBI"",""icao"":""KPBI"",""name"":""Palm Beach International Airport"",""location"":""West Palm Beach, Florida, United States"",""street_number"":""1000"",""street"":""James L Turnage Boulevard"",""city"":""West Palm Beach"",""county"":""Palm Beach County"",""state"":""Florida"",""country_iso"":""US"",""country"":""United States"",""postal_code"":""33415"",""phone"":""+1 561-471-7400"",""latitude"":26.685747,""longitude"":-80.09282,""uct"":-240,""website"":""http://www.pbia.org/""}"
test_t4l5aqjj2rlk_findAirports,false,none,true,findAirports,/airport,GET,application/json,application/json,X-RapidAPI-Host=airport-info.p.rapidapi.com;X-RapidAPI-Key=6a615b46f4mshab392a25b2bc44dp16cee9jsn2bd2d62e5f69;,,iata=PAM;,,,,,200,"{""id"":5770,""iata"":""PAM"",""icao"":""KPAM"",""name"":""Tyndall Air Force Base"",""location"":""Panama City, Florida, United States"",""street_number"":"""",""street"":"""",""city"":""Tyndall Air Force Base"",""county"":""Bay County"",""state"":""Florida"",""country_iso"":""US"",""country"":""United States"",""postal_code"":""32403"",""phone"":"""",""latitude"":30.080008,""longitude"":-85.607506,""uct"":-300,""website"":""""}"
test_1hrrkx68y8i7p_findAirports,false,none,true,findAirports,/airport,GET,application/json,application/json,X-RapidAPI-Host=airport-info.p.rapidapi.com;X-RapidAPI-Key=6a615b46f4mshab392a25b2bc44dp16cee9jsn2bd2d62e5f69;,,iata=PBI;,,,,,200,"{""id"":5791,""iata"":""PBI"",""icao"":""KPBI"",""name"":""Palm Beach International Airport"",""location"":""West Palm Beach, Florida, United States"",""street_number"":""1000"",""street"":""James L Turnage Boulevard"",""city"":""West Palm Beach"",""county"":""Palm Beach County"",""state"":""Florida"",""country_iso"":""US"",""country"":""United States"",""postal_code"":""33415"",""phone"":""+1 561-471-7400"",""latitude"":26.685747,""longitude"":-80.09282,""uct"":-240,""website"":""http://www.pbia.org/""}"
test_qy4ykurp4nqx_findAirports,false,none,true,findAirports,/airport,GET,application/json,application/json,X-RapidAPI-Host=airport-info.p.rapidapi.com;X-RapidAPI-Key=6a615b46f4mshab392a25b2bc44dp16cee9jsn2bd2d62e5f69;,,iata=EFK;,,,,,200,"{""id"":2024,""iata"":""EFK"",""icao"":""KEFK"",""name"":""Newport State Airport"",""location"":""Newport, Vermont, United States"",""street_number"":""211"",""street"":""Airport Access Road"",""city"":""Middletown"",""county"":""Newport County"",""state"":""Rhode Island"",""country_iso"":""US"",""country"":""United States"",""postal_code"":""2842"",""phone"":""+1 401-846-9400"",""latitude"":41.53182,""longitude"":-71.28061,""uct"":-240,""website"":""http://newport.stateairportri.com/""}"
test_skxv8kcd8kkz_findAirports,false,none,true,findAirports,/airport,GET,application/json,application/json,X-RapidAPI-Host=airport-info.p.rapidapi.com;X-RapidAPI-Key=6a615b46f4mshab392a25b2bc44dp16cee9jsn2bd2d62e5f69;,,iata=PAM;,,,,,200,"{""id"":5770,""iata"":""PAM"",""icao"":""KPAM"",""name"":""Tyndall Air Force Base"",""location"":""Panama City, Florida, United States"",""street_number"":"""",""street"":"""",""city"":""Tyndall Air Force Base"",""county"":""Bay County"",""state"":""Florida"",""country_iso"":""US"",""country"":""United States"",""postal_code"":""32403"",""phone"":"""",""latitude"":30.080008,""longitude"":-85.607506,""uct"":-300,""website"":""""}"
